id,label.fr,label.en,name.fr,name.en
_T,Région du Pacifique,Pacific region,Région du Pacifique,Pacific region
MEL,Mélanésie,Melanesia,Mélanésie,Melanesia
MIC,Micronésie,Micronesia,Micronésie,Micronesia
POL,Polynésie,Polynesia,Polynésie,Polynesia
AS,Samoa américaines,American Samoa,Samoa américaines,American Samoa
AS-1,Eastern,Eastern,Eastern,Eastern
AS-2,Manu'a,Manu'a,Manu'a,Manu'a
AS-3,Unorganized,Unorganized,Unorganized,Unorganized
AS-4,Western,Western,Western,Western
CK,Îles Cook,Cook Islands,Îles Cook,Cook Islands
CK-1,Groupe du Nord,Northern Group,Groupe du Nord,Northern Group
CK-2,Rarotonga,Rarotonga,Rarotonga,Rarotonga
CK-3,Groupe du Sud,Southern Group,Groupe du Sud,Southern Group
FJ,Fidji,Fiji,Fidji,Fiji
FJ-1,Centre,Central,Centre,Central
FJ-2,Est,Eastern,Est,Eastern
FJ-3,Nord,Northern,Nord,Northern
FJ-5,Ouest,Western,Ouest,Western
FM,États fédérés de Micronésie (pays),Micronesia (Federated States of),États fédérés de Micronésie (pays),Micronesia (Federated States of)
FM-1,Chuuk,Chuuk,Chuuk,Chuuk
FM-2,Kosrae,Kosrae,Kosrae,Kosrae
FM-3,Pohnpei,Pohnpei,Pohnpei,Pohnpei
FM-4,Yap,Yap,Yap,Yap
GU,Guam,Guam,Guam,Guam
GU-1,Agana Heights,Agana Heights,Agana Heights,Agana Heights
GU-2,Agat,Agat,Agat,Agat
GU-3,Asan,Asan,Asan,Asan
GU-4,Barrigada,Barrigada,Barrigada,Barrigada
GU-5,Chalan-Pago-Ordot,Chalan-Pago-Ordot,Chalan-Pago-Ordot,Chalan-Pago-Ordot
GU-6,Dededo,Dededo,Dededo,Dededo
GU-7,Hagåtña,Hagåtña,Hagåtña,Hagåtña
GU-8,Inarajan,Inarajan,Inarajan,Inarajan
GU-9,Mangilao,Mangilao,Mangilao,Mangilao
GU-10,Merizo,Merizo,Merizo,Merizo
GU-11,Mongmong-Toto-Maite,Mongmong-Toto-Maite,Mongmong-Toto-Maite,Mongmong-Toto-Maite
GU-12,Piti,Piti,Piti,Piti
GU-13,Santa Rita,Santa Rita,Santa Rita,Santa Rita
GU-14,Sinajana,Sinajana,Sinajana,Sinajana
GU-15,Talofofo,Talofofo,Talofofo,Talofofo
GU-16,Tamuning,Tamuning,Tamuning,Tamuning
GU-17,Umatac,Umatac,Umatac,Umatac
GU-18,Yigo,Yigo,Yigo,Yigo
GU-19,Yona,Yona,Yona,Yona
KI,Kiribati,Kiribati,Kiribati,Kiribati
KI-1,Banaba,Banaba,Banaba,Banaba
KI-2,Makin,Makin,Makin,Makin
KI-3,Butaritari,Butaritari,Butaritari,Butaritari
KI-4,Marakei,Marakei,Marakei,Marakei
KI-5,Abaiang,Abaiang,Abaiang,Abaiang
KI-6,Nth.Tarawa,Nth.Tarawa,Nth.Tarawa,Nth.Tarawa
KI-7,Sth.Tarawa,Sth.Tarawa,Sth.Tarawa,Sth.Tarawa
KI-8,Maiana,Maiana,Maiana,Maiana
KI-9,Abemama,Abemama,Abemama,Abemama
KI-10,Kuria,Kuria,Kuria,Kuria
KI-11,Aranuka,Aranuka,Aranuka,Aranuka
KI-12,Nonouti,Nonouti,Nonouti,Nonouti
KI-13,Tabiteuea.Nth,Tabiteuea.Nth,Tabiteuea.Nth,Tabiteuea.Nth
KI-14,Tabiteuea.Sth,Tabiteuea.Sth,Tabiteuea.Sth,Tabiteuea.Sth
KI-15,Beru,Beru,Beru,Beru
KI-16,Nikunau,Nikunau,Nikunau,Nikunau
KI-17,Onotoa,Onotoa,Onotoa,Onotoa
KI-18,Tamana,Tamana,Tamana,Tamana
KI-19,Arorae,Arorae,Arorae,Arorae
KI-20,Teeraina,Teeraina,Teeraina,Teeraina
KI-21,Tabuaeran,Tabuaeran,Tabuaeran,Tabuaeran
KI-22,Kiritimati,Kiritimati,Kiritimati,Kiritimati
KI-23,Kanton,Kanton,Kanton,Kanton
MH,Îles Marshall (pays),Marshall Islands,Îles Marshall (pays),Marshall Islands
MH-1,Ailinglaplap,Ailinglaplap,Ailinglaplap,Ailinglaplap
MH-2,Ailuk,Ailuk,Ailuk,Ailuk
MH-3,Arno,Arno,Arno,Arno
MH-4,Aur,Aur,Aur,Aur
MH-5,Eneu,Eneu,Eneu,Eneu
MH-6,Ebon,Ebon,Ebon,Ebon
MH-7,Enewetak,Enewetak,Enewetak,Enewetak
MH-8,Jabat,Jabat,Jabat,Jabat
MH-9,Jaluit,Jaluit,Jaluit,Jaluit
MH-10,Kili,Kili,Kili,Kili
MH-11,Kwajalein,Kwajalein,Kwajalein,Kwajalein
MH-12,Lae,Lae,Lae,Lae
MH-13,Lib,Lib,Lib,Lib
MH-14,Likiep,Likiep,Likiep,Likiep
MH-15,Majuro,Majuro,Majuro,Majuro
